application_id,applicant_id,program_id,application_date,application_status,drop_off_reason
APL00001,APP00001,P007,8/9/2025,Applied,Incomplete Application
APL00002,APP00002,P002,4/24/2025,Interviewed,Cohort Full
APL00003,APP00003,P005,2/27/2024,Enrolled,
APL00004,APP00004,P004,8/13/2025,Applied,Did Not Meet Requirements
APL00005,APP00005,P002,7/21/2024,Interviewed,Cohort Full
APL00006,APP00006,P004,4/4/2024,Applied,Gender Mismatch
APL00007,APP00007,P002,7/10/2025,Applied,Incomplete Application
APL00008,APP00008,P004,3/10/2024,Qualified,Interview Slots Full
APL00009,APP00009,P003,9/3/2025,Qualified,Interview Slots Full
APL00010,APP00010,P003,3/15/2025,Qualified,Could Not Be Reached
APL00011,APP00011,P004,8/3/2024,Qualified,No Response
APL00012,APP00012,P001,4/24/2025,Applied,Gender Mismatch
APL00013,APP00013,P001,6/24/2025,Interviewed,Low Interview Score
APL00014,APP00014,P006,4/18/2025,Qualified,Interview Slots Full
APL00015,APP00015,P002,8/10/2025,Interviewed,Cohort Full
APL00016,APP00016,P006,7/2/2024,Applied,Did Not Meet Requirements
APL00017,APP00017,P006,1/27/2025,Applied,Incomplete Application
APL00018,APP00018,P004,9/14/2024,Qualified,No Response
APL00019,APP00019,P006,9/6/2025,Applied,Did Not Meet Requirements
APL00020,APP00020,P001,8/10/2025,Qualified,Interview Slots Full
APL00021,APP00021,P002,1/28/2024,Qualified,Could Not Be Reached
APL00022,APP00022,P004,4/16/2025,Applied,Incomplete Application
APL00023,APP00023,P004,6/15/2025,Applied,Incomplete Application
APL00024,APP00024,P005,2/17/2024,Applied,Incomplete Application
APL00025,APP00025,P004,9/12/2025,Applied,Did Not Meet Requirements
APL00026,APP00026,P003,7/26/2025,Qualified,No Response
APL00027,APP00027,P005,3/30/2025,Qualified,No Response
APL00028,APP00028,P004,1/27/2025,Applied,Gender Mismatch
APL00029,APP00029,P006,9/8/2025,Applied,Incomplete Application
APL00030,APP00030,P002,4/15/2025,Qualified,No Response
APL00031,APP00031,P005,3/16/2025,Qualified,Could Not Be Reached
APL00032,APP00032,P003,3/18/2025,Applied,Incomplete Application
APL00033,APP00033,P005,2/26/2024,Qualified,Interview Slots Full
APL00034,APP00034,P008,7/10/2024,Applied,Did Not Meet Requirements
APL00035,APP00035,P004,4/23/2025,Enrolled,
APL00036,APP00036,P002,9/29/2024,Applied,Did Not Meet Requirements
APL00037,APP00037,P008,1/14/2024,Interviewed,Cohort Full
APL00038,APP00038,P005,6/27/2025,Applied,Gender Mismatch
APL00039,APP00039,P004,6/25/2024,Qualified,Could Not Be Reached
APL00040,APP00040,P005,2/15/2024,Interviewed,Declined Offer
APL00041,APP00041,P006,7/4/2025,Applied,Did Not Meet Requirements
APL00042,APP00042,P005,3/7/2025,Applied,Incomplete Application
APL00043,APP00043,P003,9/22/2024,Qualified,No Response
APL00044,APP00044,P004,6/1/2025,Interviewed,Cohort Full
APL00045,APP00045,P002,6/1/2025,Applied,Incomplete Application
